BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,26,0,200,0,0.0707085,0
2,26,0,400,0,0.0707085,0
2,26,0,600,0,0.0707085,0
2,26,0,800,0,0.0707085,0
2,26,0,1000,0,0.07069867,0
2,26,0,1200,0,0.07066152,0
2,26,0,1400,0,0.07061553,0
2,26,0,1600,0,0.07056024,0
2,26,0,1800,0,0.070495315,0
2,26,0,2000,0,0.070420474,0
2,26,0,2200,0,0.07034108,0
2,26,0,2400,0,0.078974694,0
2,26,0,2600,0,0.07885005,0
2,26,0,2800,0,0.07871215,0
2,26,0,3000,0,0.07856081,0
2,26,0,3300,0,0.07827558,0
2,26,0,3600,0,0.0779596,0
2,26,0,3900,0,0.077612504,0
2,26,0,4200,0,0.077280134,0
2,26,0,4500,0,0.07693856,0
2,26,0,4800,0,0.076564215,0
2,26,0,5100,0,0.07614008,0
2,26,0,5400,0,0.07564953,0
2,26,0,5700,0,0.07512581,0
2,26,0,6000,0,0.0745686,0
2,26,0,6300,0,0.07396879,0
2,26,0,6600,0,0.07333503,0
2,26,0,6900,0,0.072667025,0
2,26,0,7200,0,0.07216242,0
2,26,0,7500,0,0.07171701,0
2,26,0,7800,0,0.07123002,0
2,26,0,8100,0,0.07064083,0
2,26,0,8400,0,0.06989164,0
2,26,0,8700,0,0.06910266,0
2,26,0,9000,0,0.0682732,0
2,26,0,9300,0,0.06732332,0
2,26,0,9600,0,0.06633374,0
2,26,0,9900,0,0.071041174,0
2,26,0,10200,0,0.06980327,0
2,26,0,10500,0,0.06853943,0
2,26,0,10800,0,0.06722031,0
2,26,0,11100,0,0.065818526,0
2,26,0,11400,0,0.06430874,0
2,26,0,11700,0,0.062741406,0
2,26,0,12000,0,0.06489401,0
4,26,0,200,0,0.28253067,0
4,26,0,400,0,0.28253067,0
4,26,0,600,0,0.28253067,0
4,26,0,800,0,0.28253067,0
4,26,0,1000,0,0.28248698,0
4,26,0,1200,0,0.28240746,0
4,26,0,1400,0,0.28230467,0
4,26,0,1600,0,0.28217518,0
4,26,0,1800,0,0.2820165,0
4,26,0,2000,0,0.28182638,0
4,26,0,2200,0,0.28159216,0
4,26,0,2400,0,0.28132367,0
4,26,0,2600,0,0.2810197,0
4,26,0,2800,0,0.2806793,0
4,26,0,3000,0,0.28030157,0
4,26,0,3300,0,0.2969774,0
4,26,0,3600,0,0.29618302,0
4,26,0,3900,0,0.2952876,0
4,26,0,4200,0,0.2942891,0
4,26,0,4500,0,0.29318574,0
4,26,0,4800,0,0.29197586,0
4,26,0,5100,0,0.29067516,0
4,26,0,5400,0,0.28929934,0
4,26,0,5700,0,0.28781193,0
4,26,0,6000,0,0.28621158,0
4,26,0,6300,0,0.2843441,0
4,26,0,6600,0,0.28236303,0
4,26,0,6900,0,0.28026712,0
4,26,0,7200,0,0.27880892,0
4,26,0,7500,0,0.2775955,0
4,26,0,7800,0,0.2762445,0
4,26,0,8100,0,0.27453184,0
4,26,0,8400,0,0.27224183,0
4,26,0,8700,0,0.26981956,0
4,26,0,9000,0,0.26726314,0
4,26,0,9300,0,0.2642598,0
4,26,0,9600,0,0.27413616,0
4,26,0,9900,0,0.27050358,0
4,26,0,10200,0,0.2669315,0
4,26,0,10500,0,0.2633056,0
4,26,0,10800,0,0.25951725,0
4,26,0,11100,0,0.25546393,0
4,26,0,11400,0,0.25104985,0
4,26,0,11700,0,0.25637004,0
4,26,0,12000,0,0.25114384,0
6,26,0,200,0,0.63456374,0
6,26,0,400,0,0.63456374,0
6,26,0,600,0,0.63456374,0
